#tax_id	GeneID	relationship	Other_tax_id	Other_GeneID
7070	641547	Ortholog	224129	108738061
7070	641547	Ortholog	995702	136347906
7070	641547	Ortholog	1163345	130890924
7070	641547	Ortholog	1163346	130452774
7070	641547	Ortholog	1736056	136416279
7070	641547	Ortholog	2755281	135124956
7070	641547	Ortholog	2921223	126740922
7070	641548	Ortholog	7048	115886608
7070	641548	Ortholog	7054	116175385
7070	641548	Ortholog	7067	138126074
7070	641548	Ortholog	7539	141481608
7070	641548	Ortholog	41139	123309798
7070	641548	Ortholog	41895	123009090
7070	641548	Ortholog	50390	114346228
7070	641548	Ortholog	77166	109539056
7070	641548	Ortholog	110193	108569413
7070	641548	Ortholog	115357	123684802
7070	641548	Ortholog	116153	109609570
7070	641548	Ortholog	166361	111413852
7070	641548	Ortholog	197179	132703220
7070	641548	Ortholog	217634	108911355
7070	641548	Ortholog	224129	108742389
7070	641548	Ortholog	877792	135789505
7070	641548	Ortholog	995702	136349548
7070	641548	Ortholog	1163345	130895593
7070	641548	Ortholog	1163346	130447448
7070	641548	Ortholog	1736056	136416697
7070	641548	Ortholog	2755281	135134215
7070	641548	Ortholog	2921223	126742317
7070	641549	Ortholog	7048	115890738
7070	641549	Ortholog	7067	138126238
7070	641549	Ortholog	7539	111501980
7070	641549	Ortholog	41139	123313847
7070	641549	Ortholog	41895	123012688
7070	641549	Ortholog	50390	114329908
7070	641549	Ortholog	77166	109535232
7070	641549	Ortholog	110193	108556995
7070	641549	Ortholog	115357	123680386
7070	641549	Ortholog	116153	109607345
7070	641549	Ortholog	166361	111418356
7070	641549	Ortholog	197179	132703605
7070	641549	Ortholog	217634	108904070
7070	641549	Ortholog	224129	108736219
7070	641549	Ortholog	877792	135789610
7070	641549	Ortholog	995702	136342780
7070	641549	Ortholog	1163345	130893082
7070	641549	Ortholog	1163346	130445129
7070	641549	Ortholog	1736056	136408110
7070	641549	Ortholog	2755281	135142938
7070	641549	Ortholog	2921223	126742208
