#tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
24	67441652	rfbB	JEZ96_RS00300	-	-	-	-	dTDP-glucose 4,6-dehydratase	protein-coding	-	-	-	dTDP-glucose 4,6-dehydratase	20260210	-
24	67441653	rfbA	JEZ96_RS00305	-	-	-	-	glucose-1-phosphate thymidylyltransferase RfbA	protein-coding	-	-	-	glucose-1-phosphate thymidylyltransferase RfbA	20260210	-
24	67441654	JEZ96_RS00310	JEZ96_RS00310	-	-	-	-	sugar 3,4-ketoisomerase	protein-coding	-	-	-	sugar 3,4-ketoisomerase	20260210	-
24	67441655	JEZ96_RS00315	JEZ96_RS00315	-	-	-	-	acyltransferase	protein-coding	-	-	-	acyltransferase	20260210	-
24	67441656	JEZ96_RS00320	JEZ96_RS00320	-	-	-	-	DegT/DnrJ/EryC1/StrS family aminotransferase	protein-coding	-	-	-	DegT/DnrJ/EryC1/StrS family aminotransferase	20260210	-
24	67441657	JEZ96_RS00325	JEZ96_RS00325	-	-	-	-	CDP-glycerol glycerophosphotransferase family protein	protein-coding	-	-	-	CDP-glycerol glycerophosphotransferase family protein	20260210	-
24	67441658	JEZ96_RS00330	JEZ96_RS00330	-	-	-	-	glycosyltransferase family 2 protein	protein-coding	-	-	-	glycosyltransferase family 2 protein	20260210	-
24	67441659	rfbD	JEZ96_RS00335	-	-	-	-	dTDP-4-dehydrorhamnose reductase	protein-coding	-	-	-	dTDP-4-dehydrorhamnose reductase	20260210	-
24	67441660	rfbC	JEZ96_RS00340	-	-	-	-	dTDP-4-dehydrorhamnose 3,5-epimerase	protein-coding	-	-	-	dTDP-4-dehydrorhamnose 3,5-epimerase	20260210	-
24	67441661	JEZ96_RS00345	JEZ96_RS00345	-	-	-	-	DUF3413 domain-containing protein	protein-coding	-	-	-	DUF3413 domain-containing protein	20260210	-
24	67441662	coaD	JEZ96_RS00350	-	-	-	-	pantetheine-phosphate adenylyltransferase	protein-coding	-	-	-	pantetheine-phosphate adenylyltransferase	20260210	-
24	67441663	JEZ96_RS00355	JEZ96_RS00355	-	-	-	-	capsule assembly Wzi family protein	protein-coding	-	-	-	capsule assembly Wzi family protein	20251214	-
24	67441664	mutM	JEZ96_RS00360	-	-	-	-	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	protein-coding	-	-	-	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	20260210	-
24	67441665	JEZ96_RS00365	JEZ96_RS00365	-	-	-	-	hypothetical protein	protein-coding	-	-	-	hypothetical protein	20260210	-
